id,name,description,reqProvider,link,cost,creatorId,createdAt,updatedAt
1,Certificación Reciente de Negativa de Deuda por Todos los Conceptos del CRIM,,CRIM,https://serviciosenlinea.gobierno.pr/crim/,$2.50,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
2,Certificación Reciente Negativa Propiedad Inmueble del CRIM (con estado de cuenta) y/o Copia del Contrato de Arrendamiento,,CRIM,https://serviciosenlinea.gobierno.pr/crim/,$2.50,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
3,Resolución Corporativa autorizando a la persona a firmar el contrato,,CCE,"Formulario
http://www.comercioyexportacion.com/images/Hoja_de_requisitos_de_MC_rev_mar_2014.pdf","",1,2014-10-15 10:02:55.978-07,2014-10-15 10:02:55.978-07
4,Plan de Negocio,,CCE,"Informativo
http://www.comercioyexportacion.com/explorar/establecer/pasos-para-establecer-un-negocio.html ",Sin Costo - pasos para preparar plan de negocio,1,2014-10-15 10:02:55.978-07,2014-10-15 10:02:55.978-07
5,Certificaciones de Cumplimiento de la Administración Para el Sustento de Menores,,ASUME,http://www2.pr.gov/Pages/informaciondeformulariosprgovSolicituddeCertificaci%C3%B3ndeCumplimientodeASUME.aspx,Sin Costo,1,2014-10-15 10:02:55.978-07,2014-10-15 10:02:55.978-07
6,Certificación de No Deuda del Municipio donde la empresa opera o llevará a cabo su operación,,CRIM,http://www.crimpr.net/crimdnn,"",1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
7,Certificado de “Good Standing” ,,Departamento de Estado,https://prcorpfiling.f1hst.com/,$100 con fines de lucro y $10 sin fines de lucro,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
8,Certificado de Registro del Departamento de Estado,,Departamento de Estado,https://prcorpfiling.f1hst.com/,$110 con fines de lucro y $7 sin fines de lucro,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
9,Registro de Transacciones comerciales,,Departamento de Estado,http://www2.pr.gov/agencias/estado/Pages/RegUCC.aspx,"",1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
10,Certificación de Radicación de Planillas de los últimos 5 años,,Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin Costo,1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
11,Certificación del Registro de Comerciantes,,Departamento de Hacienda,"Registro - https://ivuregistro.hacienda.gobierno.pr/RegistroComerciantes/registro1.aspx
Aplicación PICO - https://comerciantes.hacienda.pr.gov/","",1,2014-10-15 10:02:55.979-07,2014-10-15 10:02:55.979-07
12,Certificación Reciente de No Deuda Contributiva,,Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin Costo,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
13,Estados Financiero o Copia Ultima Planilla de Contribución sobre Ingresos (si aplica),,Departamento de Hacienda,https://colecturia.hacienda.gobierno.pr/Portal/,Sin costo,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
14,Certificación Actualizada de No Deuda del Seguro Choferil del DTRH (si aplica),,DTRH,https://serviciosenlinea.gobierno.pr/dtrh/Default.aspx,Sin Costo,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
15,Certificación Actualizada de No Deuda del Seguro por Desempleo e Incapacidad,,DTRH,https://serviciosenlinea.gobierno.pr/dtrh/Default.aspx,Sin Costo,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
16,Últimas dos (2) Planillas Trimestrales del DTRH con evidencia de pago (si aplica),,DTRH ,https://patronos.dtrh.gobierno.pr/patronos/acercade.aspx?Id=228&M=286&F=12,registro,1,2014-10-15 10:02:55.98-07,2014-10-15 10:02:55.98-07
17,Licencia o Pasaporte,,Licencia » DTOP / Pasaporte » US Department of State,"http://www.dtop.gov.pr/serviciosenlinea/
https://es.usps.com/shop/apply-for-a-passport.htm",Variable,1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
18,Declaración de Volumen de Negocio,,Municipio,"Formulario de acuerdo a municipio, no hay un estandar.","",1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
19,Patente Municipal Vigente,,Municipio,"Patente Municipal-Una vez tienes tu permiso de uso, debes ir al municipio en donde establecerás tu negocio para solicitar la patente municipal. Muchos municipios además del Permiso de Uso, te piden que lleves la última planilla personal radicada en Hacienda, certificación negativa de deuda de Hacienda y del CRIM. Mi recomendación, antes de ir al Municipio a solicitar patente, llama antes por teléfono, pide la división de patentes y pregunta cuáles son los documentos que debes llevar contigo para solicitar patente por primera vez. De esta manera te ahorras tiempo.","",1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
20,Permiso de Uso,,OGPe / Municipio,https://www.sip.pr.gov/web/guest/ciudadano/permisos/uso/,"$25 -  permisos de uso residenciales
$100 - permiso de uso comercial
",1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
21,"Permiso Especial (Salud, EPA, DRNA, Instituto de Cultura, etc.)",,"OGPe, Agencias Estatales o Federales","https://www.sip.pr.gov/web/guest/ciudadano/recomendaciones-certificaciones/incendios
https://www.sip.pr.gov/web/guest/ciudadano/recomendaciones-certificaciones/salud
https://www.sip.pr.gov/web/guest/ciudadano/documentos-ambientales","Prevención de Incendios - entre $50 y $100 (dependiendo de la cantidad de pies cuadrados del área de construcción)
Salud - $35",1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
22, Copia del Reglamento Interno de la cadena aprobado por su Junta de Directores,,Privado,"","",1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
23, Evidencia de Inscripción en el Registro de Marcas de Fábrica del Departamento de Estado si intenta crear una marca de fábrica para el producto que vende,,Privado,"","",1,2014-10-15 10:02:55.981-07,2014-10-15 10:02:55.981-07
24, Propuesta o solicitud sometida para la participación de subasta,,Privado,"","",1,2014-10-15 10:02:55.982-07,2014-10-15 10:02:55.982-07
25,Actividades endosadas y certificadas como ecoturísticas,,Privado,"","",1,2014-10-15 10:02:55.982-07,2014-10-15 10:02:55.982-07
26,Aviso al Público en original,,Privado,"","",1,2014-10-15 10:02:55.982-07,2014-10-15 10:02:55.982-07
27,Carta Compromiso firmada por todos los integrantes de la cadena  ,,Privado,"","",1,2014-10-15 10:02:55.983-07,2014-10-15 10:02:55.983-07
28,Carta de intención para solicitar al programa (previo a comenzar a efectuar gastos elegibles para los incentivos),,Privado,"","",1,2014-10-15 10:02:55.983-07,2014-10-15 10:02:55.983-07
29,Certificación de elegibilidad de la Autoridad de Desperdicios Sólidos.,,Privado,"","",1,2014-10-15 10:02:55.983-07,2014-10-15 10:02:55.983-07
30,Certificación de Elegibilidad de la Compañía de Desarrollo Industrial (PRIDCO),,Privado,"","",1,2014-10-15 10:02:55.983-07,2014-10-15 10:02:55.983-07
31,Certificación de Inspección del Cuerpo de Bomberos de Puerto Rico,,Privado,"","",1,2014-10-15 10:02:55.983-07,2014-10-15 10:02:55.983-07
32,Certificación Negativa de Deuda de La Compañía de Turismo - División de Impuesto por Habitación,,Privado,"","",1,2014-10-15 10:02:55.983-07,2014-10-15 10:02:55.983-07
34,Certificado de Elegibilidad del Departamento de Recreación y Deporte,,Privado,"","",1,2014-10-15 10:02:55.984-07,2014-10-15 10:02:55.984-07
35,Certificado de seguro de responsabilidad pública expedido por una agencia autorizada por el Comisionado de Seguros de Puerto Rico que incluya a la CTPR como asegurada adicional y contenga un relevo de responsabilidad pública,,Privado,"","",1,2014-10-15 10:02:55.984-07,2014-10-15 10:02:55.984-07
36,Contribución de capital por parte de Inversionistas por acciones o participaciones,,Privado,"","",1,2014-10-15 10:02:55.984-07,2014-10-15 10:02:55.984-07
37,Copia aprobada por OGPe de los planos del Proyecto,,Privado,"","",1,2014-10-15 10:02:55.984-07,2014-10-15 10:02:55.984-07
38,Costo total del proyecto,,Privado,"","",1,2014-10-15 10:02:55.984-07,2014-10-15 10:02:55.984-07
39,Crédito personal,,Privado,"","",1,2014-10-15 10:02:55.984-07,2014-10-15 10:02:55.984-07
40,Cumplir con los Estándares de la OAJ,,Privado,"","",1,2014-10-15 10:02:55.984-07,2014-10-15 10:02:55.984-07
44,Donativos y grants vigentes con copia de los contratos otrogados,,Privado,"","",1,2014-10-15 10:02:55.985-07,2014-10-15 10:02:55.985-07
50,Estudio de viabilidad económica del proyecto por firma competente con mercado que será implementado ,,Privado,"","",1,2014-10-15 10:02:55.988-07,2014-10-15 10:02:55.988-07
55,Fecha estimada del comienzo de la Actividad Turística,,Privado,"","",1,2014-10-15 10:02:55.988-07,2014-10-15 10:02:55.988-07
60,Informe de Recetas el cual debe incluir resumen de despacho de recetas en $ y la cantidad de recetas desglosadas por productos de marcas y productos genéricos.,,Privado,"","",1,2014-10-15 10:02:55.989-07,2014-10-15 10:02:55.989-07
65,Licencia del Departamento de Salud.,,Privado,"","",1,2014-10-15 10:02:55.989-07,2014-10-15 10:02:55.989-07
70,Participante del Programa de Microempresas de OAJ,,Privado,"","",1,2014-10-15 10:02:55.99-07,2014-10-15 10:02:55.99-07
72,Plan de conservación mejoras y mantenimiento de la estructura física ambiental y estética,,Privado,"","",1,2014-10-15 10:02:55.991-07,2014-10-15 10:02:55.991-07
76,Que los fondos asignados no hayan sido desembolsados y que el atraso en el desembolso no sea por causas atribuibles a la ONG,,Privado,"","",1,2014-10-15 10:02:55.991-07,2014-10-15 10:02:55.991-07
82,Título de propiedad del terreno donde se va a desarrollar el proyecto incluyendo tasación,,Privado,"","",1,2014-10-15 10:02:55.992-07,2014-10-15 10:02:55.992-07
41,Declaración Jurada del solicitante,,Privado,"","",1,2014-10-15 10:02:55.984-07,2014-10-15 10:02:55.984-07
46,Empleos a generarse y nómina anual: Durante la Construcción y Operación,,Privado,"","",1,2014-10-15 10:02:55.985-07,2014-10-15 10:02:55.985-07
51,Evidencia de existencia de persona jurídica,,Privado,"","",1,2014-10-15 10:02:55.988-07,2014-10-15 10:02:55.988-07
56,Gravamen sobre el vehículo ,,Privado,"","",1,2014-10-15 10:02:55.988-07,2014-10-15 10:02:55.988-07
62,Licencia de Bebidas Alcohólicas,,Privado,"","",1,2014-10-15 10:02:55.989-07,2014-10-15 10:02:55.989-07
67,Medallón y cualquier otra colateral o garantía aceptable al BDEPR.,,Privado,"","",1,2014-10-15 10:02:55.99-07,2014-10-15 10:02:55.99-07
73,Planos arquitectónicos preparados por un arquitecto o ingeniero licenciado,,Privado,"","",1,2014-10-15 10:02:55.991-07,2014-10-15 10:02:55.991-07
77,Ser una organización bonafide con todos los requisitos legales requeridos,,Privado,"","",1,2014-10-15 10:02:55.991-07,2014-10-15 10:02:55.991-07
81,Tener negocio propio (DBA Corporación o Sociedad),,Privado,"","",1,2014-10-15 10:02:55.992-07,2014-10-15 10:02:55.992-07
42,Declaración Jurada exponiendo las razones por la cuales no se acompaña alguna de la información antes indicada,,Privado,"","",1,2014-10-15 10:02:55.985-07,2014-10-15 10:02:55.985-07
47,Endoso conceptual y financiero de la Compañía de Turismo,,Privado,"","",1,2014-10-15 10:02:55.986-07,2014-10-15 10:02:55.986-07
52,Evidencia de radicación de solicitud en el Departamento de Hacienda,,Privado,"","",1,2014-10-15 10:02:55.988-07,2014-10-15 10:02:55.988-07
58,Información sobre el dueño y operador del hospedaje y el casino si lo tiene,,Privado,"","",1,2014-10-15 10:02:55.989-07,2014-10-15 10:02:55.989-07
63,"Licencia del ""Drug Enforcement Administration"" (DEA).",,Privado,"","",1,2014-10-15 10:02:55.989-07,2014-10-15 10:02:55.989-07
68,Medidas de seguridad para la clientela,,Privado,"","",1,2014-10-15 10:02:55.99-07,2014-10-15 10:02:55.99-07
74,Porción del costo total a financiar (fuentes y uso de fondos),,Privado,"","",1,2014-10-15 10:02:55.991-07,2014-10-15 10:02:55.991-07
79,Si la empresa vende productos manufacturados deberá someter la Certificación de Fomento Industrial (Evidencia que el producto es manufacturado en Puerto Rico),,Privado,"","",1,2014-10-15 10:02:55.992-07,2014-10-15 10:02:55.992-07
43,Detalle de envejecimiento (aging) de cuentas por cobrar,,Privado,"","",1,2014-10-15 10:02:55.985-07,2014-10-15 10:02:55.985-07
48,Endoso del Departamento de Agricultura,,Privado,"","",1,2014-10-15 10:02:55.986-07,2014-10-15 10:02:55.986-07
53,Evidencia de Seguro Social,,Privado,"","",1,2014-10-15 10:02:55.988-07,2014-10-15 10:02:55.988-07
57,Identificación Oficial con Foto (tener de 21-29 años),,Privado,"","",1,2014-10-15 10:02:55.988-07,2014-10-15 10:02:55.988-07
61,Licencia de ASSMCA (Administración de Servicios de Salud y Contra la Adicción).,,Privado,"","",1,2014-10-15 10:02:55.989-07,2014-10-15 10:02:55.989-07
66,Licencia Sanitaria,,Privado,"","",1,2014-10-15 10:02:55.99-07,2014-10-15 10:02:55.99-07
71,Plan de adiestramiento y readiestramiento del personal,,Privado,"","",1,2014-10-15 10:02:55.991-07,2014-10-15 10:02:55.991-07
78,Si la empresa vende productos agrícolas locales  deberá proveer evidencia que provienen de núcleos de producción agrícola certificados por el Departamento de Agricultura,,Privado,"","",1,2014-10-15 10:02:55.991-07,2014-10-15 10:02:55.991-07
45,Dos cartas de referencias bancarias y comerciales de la peticionaria dirigidas al Director de la Oficina de Exención Contributiva Industrial,,Privado,"","",1,2014-10-15 10:02:55.985-07,2014-10-15 10:02:55.985-07
49,Endoso del Secretario de Hacienda,,Privado,"","",1,2014-10-15 10:02:55.987-07,2014-10-15 10:02:55.987-07
54,Facilidades para personas con impedimentos físicos,,Privado,"","",1,2014-10-15 10:02:55.988-07,2014-10-15 10:02:55.988-07
59,Informe de Cantidad ($) y prociento del total de ventas de piso y recetario,,Privado,"","",1,2014-10-15 10:02:55.989-07,2014-10-15 10:02:55.989-07
64,Licencia del Departamento de Salud Ambiental.,,Privado,"","",1,2014-10-15 10:02:55.989-07,2014-10-15 10:02:55.989-07
69,Oportunidad identificada para exportar su producto ,,Privado,"","",1,2014-10-15 10:02:55.99-07,2014-10-15 10:02:55.99-07
75,Proyecciones de ingresos por los próximos tres años.,,Privado,"","",1,2014-10-15 10:02:55.991-07,2014-10-15 10:02:55.991-07
80,Solicitud de la agencia,,Privado,"","",1,2014-10-15 10:02:55.992-07,2014-10-15 10:02:55.992-07
83,Certificado del IVU,Impuesto sobre Ventas y Uso,Departamento de Hacienda,https://comerciantes.hacienda.pr.gov/,"",7,2014-10-17 12:03:11.027-07,2014-10-17 12:03:11.056-07
84,Informe Anual del Departamento de Estado (ponchado),"",Departamento de Estado ,https://prcorpfiling.f1hst.com/AnnualReportStart.aspx,"",7,2014-10-17 12:10:36.292-07,2014-10-17 12:27:21.116-07
85,Certificación del Registro Obligatorio de Comerciantes y de Negocios de la CCE,"",CCE,"","",7,2014-10-17 13:03:47.668-07,2014-10-17 13:03:47.686-07
86,Registro Unico de Licitadores (RUL),"",Administración de Servicios Generales (ASG),"","",1,2014-11-04 13:53:39.865-08,2014-11-04 13:53:39.911-08
87,Seguro Social Patronal ,"",IRS,"","",7,2014-11-05 04:29:11.561-08,2014-11-05 04:29:11.6-08
88,Reglamento Interno de la Cadena aprobada por la Junta de Directores,"",Empresa,"","",7,2014-11-05 04:32:34.59-08,2014-11-05 04:32:56.842-08
89,Evidencia de Inscripción en el Registro de Marcas de Fábricas,"",Departamento de Estado ,"","",7,2014-11-05 04:36:01.414-08,2014-11-05 04:36:01.451-08
91,Dos fotos 4 x 6 del frente del local,"",CCE,"","",7,2014-11-05 05:57:22.403-08,2014-11-05 06:01:59.473-08
92,"Copia del título de propiedad, escritura o contrato de arrendamiento","",Individuo o empresa,"","",7,2014-11-05 06:11:16.892-08,2014-11-05 06:11:16.912-08
93,Cualquier otro documento que sea requerido por las agencias o corporaciones públicas. ,"","","","",7,2014-11-05 10:34:33.689-08,2014-11-05 10:34:33.717-08
33,Certificado de Antecedentes Penales,"",Policía,"","",1,2014-10-15 10:02:55.984-07,2014-11-06 10:43:18.39-08
